[27May2026 11:28:30.401] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--username, Red_Fog, --version, 1.21.1, --gameDir, C:/Users/grant/AppData/Roaming/PrismLauncher/instances/Journey High Tides/minecraft, --assetsDir, C:/Users/grant/AppData/Roaming/PrismLauncher/assets, --assetIndex, 17, --uuid, 246ce462051b443699b3d8f08edb935d, --accessToken, ❄❄❄❄❄❄❄❄, --userType, msa, --versionType, release, --fml.neoForgeVersion, 21.1.225, --fml.fmlVersion, 4.0.42, --fml.mcVersion, 1.21.1, --fml.neoFormVersion, 20240808.144430, --launchTarget, forgeclient, --width, 854, --height, 480]
[27May2026 11:28:30.406] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: JVM identified as Microsoft OpenJDK 64-Bit Server VM 21.0.7+6-LTS
[27May2026 11:28:30.407] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 11.0.5+main.901c6ea8 starting: java version 21.0.7 by Microsoft; OS Windows 11 arch amd64 version 10.0
[27May2026 11:28:31.622] [main/INFO] [net.neoforged.fml.loading.ImmediateWindowHandler/]: Loading ImmediateWindowProvider fmlearlywindow
[27May2026 11:28:31.715] [main/INFO] [EARLYDISPLAY/]: Trying GL version 4.6
[27May2026 11:28:32.010] [main/INFO] [EARLYDISPLAY/]: Requested GL version 4.6 got version 4.6
[27May2026 11:28:32.146] [main/WARN] [CrashAssistantJarInJarHelper/]: Stream injection failed; legacy loggers may retain blocking behavior.
[27May2026 11:28:32.148] [main/INFO] [CrashAssistantJarInJarHelper/]: Launching CrashAssistantApp (CrashAssistant-neoforge-1.20.6-1.21.4-1.11.8.jar)
[27May2026 11:28:32.416] [pool-2-thread-1/INFO] [EARLYDISPLAY/]: GL info: NVIDIA GeForce RTX 3080/PCIe/SSE2 GL version 4.6.0 NVIDIA 596.49, NVIDIA Corporation
[27May2026 11:28:33.186] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=union:/C:/Users/grant/AppData/Roaming/PrismLauncher/libraries/net/fabricmc/sponge-mixin/0.15.2+mixin.0.8.7/sponge-mixin-0.15.2+mixin.0.8.7.jar%23175!/ Service=ModLauncher Env=CLIENT
[27May2026 11:28:33.455] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "client-1.21.1-20240808.144430-srg.jar" [locator: production client provider +net.neoforged:neoforge:21.1.225:client]
[27May2026 11:28:33.482] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "neoforge-21.1.225-universal.jar" [locator: PathBasedLocator[name=neoforge, paths=[C:\Users\grant\AppData\Roaming\PrismLauncher\libraries\net\neoforged\neoforge\21.1.225\neoforge-21.1.225-universal.jar]], reader: mod manifest]
[27May2026 11:28:33.496] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "[1.21.1-neoforge]-Siege-Machines-1.33.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.502] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "advancednetherite-neoforge-2.3.1-1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.509] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AdvancementPlaques-1.21.1-neoforge-1.6.8.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.517] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aether-1.21.1-1.5.10-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.523] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aether_ores-1.0.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.527] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aether_treasure_reforging-1.21.1-1.0.1-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.538] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "AI-Improvements-1.21-0.5.3.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.547] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "alltheleaks-1.1.8+1.21.1-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.554] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "almostunified-neoforge-1.21.1-1.4.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.559] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "almostunified_ie-neoforge-1.21.1-1.0.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.564] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ancientreforging-1.8.4.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.569] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "anvilcore-10.1 Release-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.576] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Apotheosis-1.21.1-8.5.2.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.581] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "apothic_cataclysm-1.2.0.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.599] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "apothic_materials-1.0.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.604] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicAttributes-1.21.1-2.9.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.612] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "apothiccombat-1.2.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.619] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicEnchanting-1.21.1-1.5.2.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.625] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ApothicSpawners-1.21.1-1.3.4.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.632] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "appleskin-neoforge-mc1.21-3.0.9.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.643] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Aquaculture-1.21.1-2.7.21.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.650] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "aquaculturedelight-1.2.0-neoforge-1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.661] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "architectury-13.0.8-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.668] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Armor-Set-Bonuses-1.21.1-NeoForge-1.0.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.674] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "armoroftheages-neoforge-1.21.1-1.5.7.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.683] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "artifacts-neoforge-13.2.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.690] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "ATi Structures V1.4.4 (1.21+).jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.695] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "atlas_api-1.21.1-1.2.0.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.702] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "attributefix-neoforge-1.21.1-21.1.3.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.710] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "azurelib-neo-1.21.1-3.1.8.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.717] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "Backported 1.2 - 1.21.1 Neo.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.722] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "balm-neoforge-1.21.1-21.0.56.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.726] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bblcore-1.21-1.3.20.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.732] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "beer-1.21.1-1.4.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.744] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "better-clouds-1.7.20-alpha+1.21.1-neoforge.rev.4c611d9.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.752] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "betterarcheology-neoforge-1.21.1-1.3.4.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.757] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bettercombat-neoforge-2.3.2+1.21.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.762] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterFurnacesReforged-1.21.1-1.1.2518.1-neoforge.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.766] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "BetterPingDisplay-1.21.1-1.1.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.772] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "biolith-neoforge-3.0.10.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.776] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "blockui-1.0.211-1.21.1-snapshot.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.781] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "blueprint-1.21.1-8.0.8.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.785] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "bookshelf-neoforge-1.21.1-21.1.81.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.790] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "botanypots-neoforge-1.21.1-21.1.41.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
[27May2026 11:28:33.793] [main/INFO] [net.neoforged.fml.loading.moddiscovery.ModDiscoverer/SCAN]: Found mod file "botanypotsmystical-neoforge-1.21.1-21.1.11.jar" [locator: {mods folder locator at C:\Users\grant\AppData\Roaming\PrismLauncher\instances\Journey High Tides\minecraft\mods}, reader: mod manifest]
